Subject,trial_number,State_1,State_2,State_3,outcome_type,RT_1,RT_2,RT_3,Reward_received,Shock_received,trial_type,State_1_reward,State_2_reward,State_3_reward,State_4_reward,State_1_shock,State_2_shock,State_3_shock,State_4_shock
M012,12,1,4,8,moves_entered,9.903171156347526,12.675326453398156,14.736298564639583,0.38,1.0,0,0.36,0.38,0.78,0.74,0.0,1.0,1.0,0.0
M012,13,2,6,10,moves_entered,10.057728750027309,12.2482937121531,14.62213988196163,0.78,0.0,0,0.39,0.38,0.81,0.78,1.0,0.0,1.0,0.0
M012,14,2,6,10,moves_entered,10.387367595110845,12.444457313598832,14.18840015492242,0.73,0.0,0,0.41,0.37,0.76,0.73,0.0,0.0,0.0,0.0
M012,15,2,6,10,moves_entered,10.526068904939166,12.229630576839554,14.271175995443627,0.74,0.0,0,0.31,0.4,0.8,0.74,1.0,0.0,0.0,0.0
M012,16,2,6,10,moves_entered,10.484548257591086,12.483291618307703,14.238869921766309,0.76,0.0,0,0.34,0.34,0.79,0.76,1.0,0.0,0.0,0.0
M012,17,2,6,10,moves_entered,10.256727991156367,12.021794021624373,13.457757471296645,0.75,0.0,0,0.34,0.35,0.75,0.75,1.0,0.0,0.0,0.0
M012,18,2,6,10,moves_entered,10.53815560568546,12.256609156058403,14.317179905956436,0.78,0.0,0,0.39,0.38,0.79,0.78,1.0,0.0,1.0,0.0
M012,19,2,6,10,moves_entered,9.863430022698594,12.15669997284931,14.445359121327783,0.76,1.0,0,0.37,0.36,0.78,0.76,1.0,0.0,0.0,1.0
M012,20,1,3,7,moves_entered,10.339233021561085,12.609274560283666,14.664047161797498,0.41,0.0,0,0.41,0.39,0.72,0.69,0.0,0.0,0.0,1.0
M012,21,1,4,8,moves_entered,10.116008493194386,12.478703579410649,14.322388900065562,0.44,0.0,0,0.52,0.44,0.74,0.72,0.0,0.0,0.0,1.0
M012,22,2,5,9,moves_entered,9.937742126505327,12.544849536359834,14.298092981265654,0.64,1.0,0,0.44,0.47,0.64,0.64,0.0,0.0,1.0,0.0
M012,23,2,6,10,moves_entered,10.725187650656153,12.109345693970681,14.505980417987303,0.63,1.0,0,0.57,0.5,0.67,0.63,0.0,0.0,0.0,1.0
